ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Малое количество на складе","Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: _wfg_single_gift_enabled","Мета: _wfg_single_gift_allowed","Мета: _yst_prominent_words_version","Мета: _yoast_wpseo_primary_product_cat","Мета: _yoast_wpseo_content_score","Мета: _yoast_wpseo_focuskeywords","Мета: _yoast_wpseo_keywordsynonyms","Мета: _wfg_gift_product","Мета: _download_type","Мета: cbc-bgposition"
391,simple,,"Гункан ""Лосось""",1,0,visible,"Рис, нори, лосось, крем-сыр. Вес 30 г.",,,,taxable,,1,,,0,0,,,,,1,,,30,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-7ef27ffff37c892e469f7db4e929e294e58a943cfd143203f25d6a7ecba05620_56b4936.jpg,,,,,,,,,0,,1,,,,,,,,
393,simple,,"Гункан ""Угорь""",1,0,visible,"Рис, нори, угорь, соус унаги. Вес 30 г.",,,,taxable,,1,,,0,0,,,,,1,,,39,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-3d9af3748df97c0b29170532ac3bde166fc229183491b8e765b5183b53571f8d_39253e06.jpg,,,,,,,,,0,,1,,,,,,,,
395,simple,,"Гункан ""Окунь""",1,0,visible,"Рис, нори, окунь, спайс- соус. Вес 30 г.",,,,taxable,,1,,,0,0,,,,,1,,,33,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-310b4fdfa8e2fc53cf355c69d01132d600c3d5453d3d472a62ab82a08831d11f_c666fc33.jpg,,,,,,,,,0,,1,,,,,,,,
397,simple,,"Пицца ""4 сыра""",1,0,visible," Моцарелла ,Пармезан, Дор-блю, Эмменталь, специи. Диаметр до 40 см, вес 600 г.",,,,taxable,,1,,,0,0,,,,,1,,,155,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-ec7d5611ae5d5982a1129048776658afb1885244b6edee5cc81216ae8e410447_ec9fa581.jpg,,,,,,,,,0,,1,,,,,,,,
408,simple,,"Пицца ""Мясной бум""",1,0,visible,"Бекон, буженина, копченая колбаса, лук, сыр, специи, маслины. Вес 750 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,165,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-ebda3236c3463f4a89487440ff521ce8827e1a81adbeffbae91211de3b127b5f_342b9304.jpg,,,,,,,,,0,,1,,,,,,,,
409,simple,,"Пицца ""Дьявола""",1,0,visible,"Помидор, орегано, моцарелла, перец чили, салями. Вес 650 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,150,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-92efa5fcb2df165835bc2c295c650fdc9b0243e25b096e1357b9d02f150d30c0_202b585b.jpg,,,,,,,,,0,,1,,,,,,,,
411,simple,,"Пицца ""Морепродукты""",1,0,visible,"Коктейль из морепродуктов, моцарелла, пармезан, сливочный соус, специи. Вес 850 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,0,,,165,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-98450de042c525e75f36ef0ae2c3ace079f9fabd8b5a5ba2af0baa3876632d19_f30df05c.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
412,simple,,"Пицца ""Маргарита""",1,0,visible,"Помидоры, орегано, моцарелла, базилик. Вес 550 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,95,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-39d00371ae422a19bff3f49b3cc18ade686422d085ac6f9c60ba58194d64f224_bf4b92ec.jpg,,,,,,,,,0,,1,,,,,,,,
413,simple,,"Пицца ""Барбекю""",1,0,visible,"Куриное мясо, сыр копченный, моцарелла,лук, кинза, бекон, колбаски копченные. Вес 700 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,155,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-575df026a8ef7bd1475fc1dae16472b62e15c804dbf61045c74bc6cd0713ec70_83a48bde.jpg,,,,,,,,,0,,1,,,,,,,,
414,simple,,"Пицца ""Папперони""",1,0,visible,"Моцарелла, салями, специи, томат. Вес 560 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,118,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-7289093fd33bdafa9936d0e2c1656d57a2a87f7d393de2ef298e6dc581f4fad7_9b4f5121.jpg,,,,,,,,,0,,1,,,,,,,,
415,simple,,"Пицца ""Гавайи""",1,0,visible,"Курица, моцарелла, ананасы, специи, пармезан. Вес 850г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,0,,,155,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-9ebb1df2f68acdc45e11dccf480fec7adddb51229a4ab9aa588f3ce80ce13721_7ecff397.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
416,simple,,"Пицца ""Мясная""",1,0,visible,"Мясная нарезка, пармезан, помидор, базилик, лук, специи. Вес 750 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,165,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-50ef9017079593304a8e21edd053e65711efeb4db33331145a2553369de035d0_9a335e44.jpg,,,,,,,,,0,,1,,,,,,,,
430,simple,,"Маки сет",1,0,visible,"Маки лосось, маки тунец, маки креветка, маки угорь, маки авокадо, маки огурец. Вес 600 г.","<img src=""http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-a91894ec4f7e0ba6f1d6cd6a8c11bd03680fb1a4db1767f9fabb65d43569c142_11c886f2-225x300.jpg"" alt="""" width=""225"" height=""300"" class=""alignnone size-medium wp-image-431"" />",,,taxable,,1,,,0,0,,,,,0,,,220,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-a91894ec4f7e0ba6f1d6cd6a8c11bd03680fb1a4db1767f9fabb65d43569c142_11c886f2.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
432,simple,,"Сет Калифорния",1,0,visible,"24 куска, 800 г",,,,taxable,,1,,,0,0,,,,,0,,,375,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-7e338895a84f24e8e5ecb0b3712d190507766f591c9f3b1c5cc3c2d496b870a1_bc9c0c6c.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
434,simple,,"Сет Романтик",1,0,visible,"Маки лосось, маки креветка, маки тунец, маки окунь, ролл инь-янь 540 г",,,,taxable,,1,,,0,0,,,,,0,,,290,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-40ef426fe9897a35bac4b9349b848f71d137f0331737d8a1a4c754811050f1b9_22c8686b.jpg,,,,,,,,,0,,1,,,,,,,,
440,simple,,"Сет 3 Дракона",1,0,visible,"Красный дракон, зеленый дракон, золотой дракон. Вес 527 г.",,,,taxable,,1,,,0,0,,,,,0,,,395,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-3eee70e13a3f80d53ed72caec625701462f72920711f959993b925603241b0ca_2379692e.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
443,simple,,"Summer сет",1,0,visible,"Овощной ролл, ролл Филадельфия -шеф, ролл хокаши, маки тунец, маки лосось, маки авокадо. Вес 985 г.",,,,taxable,,1,,,0,0,,,,,0,,,438,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-aad330720b335b7aadb8af682cd6837ac8a8dc28fe99be5bcdb1cd587fcaf1c4_48ee1e49.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
460,simple,,"Суши сет",1,0,visible,"суши тунец, лосось, окунь, угорь, креветка. Вес 125 г",,,,taxable,,1,,,0,0,,,,,0,,,150,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-93ba6e7a39e46df5ba84a7438e90ecc1d7e71b930bd6d88ed5add45e9ef278a7_686fee96.jpg,,,,,,,,,0,,1,1,19,30,[],"[""""]",,,
462,simple,,"Сет Филадельфия",1,0,visible,"Филадельфия класик, филадельфия лайт, филадельфия с икрой тобика. Вес 685 г",,,,taxable,,1,,,0,0,,,,,0,,,295,Сеты,,,"http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-a18bd6d08af63e415e467473c2654c68710b2ba873803f0bcc51dae9308291e8_80cd29aa.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-8789ba2b5665f4d21e44557b64217681920174b5c211326adabe2af8cdc47a20_8bff21bf.jpg",,,,,,,,,0,,1,1,19,30,[],"[""""]",,,
467,simple,,"Рис с омлетом и грибами шитаке",1,0,visible,"Рис, грибы шитаке, шампиньены, кунжут, яйцо, соус унаги. Вес 250 г.",,,,taxable,,1,,,0,0,,,,,0,,,65,Разное,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-04-5d133019d429149ad44d401f63a59c29d5aa42ec33e3acba8eec79bf60b04dc2_f3173065.jpg,,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
469,simple,,"Жаркое со свининой",1,0,visible,"Картофель, свинина, лук, морковь, зелень. 500 г",,,,taxable,,1,,,0,0,,,,,0,,,65,Разное,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-04-c045ee02eb2d80af18a3fbf6a4b36f476040267890b7b91f512dd515cbe0b207_a11116f6.jpg,,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
472,simple,,"Плов в хлебе",1,0,visible,"Вес 600г",,,,taxable,,1,,,0,0,,,,,0,,,88,Разное,,,"http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-361faa43a91f381a3593a9104a3d08c2487df0112f9de66553261ee259a35173_7a027683.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-4abc23729aa6618661b67a173e99a9ea978e84e90399a0d1b925078e7e7ebba6_e79710c6.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-2c8d0783b485ed629e3405eab21a981e227495a36a4c7fedba208159674f7a56_75e0d981.jpg",,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
